num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
117,11,2,0,0,0,0,0,1,6,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,0,2,U,1,3,2,9
118,65,1,8,2,2,2,1,1,4,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,3,1,9
119,46,1,12,2,2,2,1,1,12,3,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,0,1,U,1,3,1,9
120,39,1,10,2,2,2,1,1,10,3,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,4,1,U,1,3,2,9
121,39,1,1,2,2,2,1,1,4,3,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,6,1,U,1,3,2,9
122,33,1,5,2,2,1,1,1,5,3,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,U,1,4,1,9
123,30,1,8,2,2,1,1,1,12,3,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,U,1,4,1,9
124,78,1,3,2,2,2,1,1,3,3,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,0,1,U,1,4,2,9
125,67,1,6,2,2,1,1,1,8,3,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,0,1,U,1,4,1,9
126,50,1,8,2,2,1,1,1,12,3,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,4,1,U,1,4,1,9
